,Matricule,Nom Commercial,Sexe,Date naissance,Téléphone,email,Date recrutement,Salaire de base (euro),@dropdown
AGADIR,A001,Danielle Pokam,F,15/05/1998,0656263652,Dadakeish@yahoo.fr,01/01/2016,"4200,00",
AGADIR,A002,Rebti Sahar,F,20/10/1995,0652147850,Rebti.Sahar@gmail.com,01/06/2016,"4200,00",
AGADIR,A003,Ajari Adil,M,30/07/1987,0756415263,Ajari.Adil@gmail.com,01/03/2018,"4200,00",
AGADIR,A004,Mourabit Ali,M,26/10/1990,0698569856,Mourabit.Ali@gmail.com,01/06/2019,"4200,00",
AGADIR,A005,Semoni Ikrame,F,01/01/1997,0641748595,Semoni.Ikrame@gmail.com,01/01/2020,"4200,00",
AGADIR,A006,Bellaf Rachida,F,02/05/1986,0652147852,Bellaf.Rachida@gmail.com,01/01/2020,"4200,00",
CASABLANCA,C001,ESSABBAR Soumia, ,01/07/1975,0765238193,ESSABBAR.Soumia@gmail.com,01/01/2020,"5500,00",
CASABLANCA,C002,ZRAGUI Fatima,F,05/10/1984,0762318904,ZRAGUI.Fatima@gmail.com,01/01/2020,"5500,00",
CASABLANCA,C003,FABOUR Hassna,F,05/01/1980,0752638106,FABOUR.Hassna@gmail.com,01/01/2016,"5500,00",
CASABLANCA,C004,Goulfaoui Houda,F,11/10/1998,0785961387,Goulfaoui.Houda@gmail.com,01/06/2016,"5500,00",
CASABLANCA,C005,BIGAOU Fatima,F,20/05/1988,0796321582,BIGAOU.Fatima@gmail.com,01/03/2018,"5500,00",
CASABLANCA,C006,KOUTOS Youssef,M,04/05/1979,0606050418,KOUTOS.Youssef@gmail.com,01/06/2019,"5500,00",
CASABLANCA,C007,ABZA Omar,M,05/01/1979,0625632017,ABZA.Omar@gmail.com,01/01/2020,"5500,00",
CASABLANCA,C008,ASSAIDI Mohamed,M,02/09/2000,0674030943,ASSAIDI.Mohamed@gmail.com,01/01/2020,"5500,00",
CASABLANCA,C009,AMHAL Ibtissame,F,05/05/1982,0763236329,AMHAL.Ibtissame@gmail.com,01/01/2016,"5500,00",
CASABLANCA,C010,BOUGUINANE Salah,M,06/07/1978,0769176325,BOUGUINANE.Salah@gmail.com,01/06/2016,"5500,00",
CASABLANCA,C011,IDESSI Majda,F,26/10/1990,0631975241,IDESSI.Majda@gmail.com,01/03/2018,"5500,00",
CASABLANCA,C012,SAHEL Sanae,F,01/01/1997,0763639685,SAHEL.Sanae@gmail.com,01/06/2019,"5500,00",
CASABLANCA,C013,TALB Loubna,F,02/05/1986,0756913736,TALB.Loubna@gmail.com,01/01/2020,"5500,00",
CASABLANCA,C014,OULHOR Mohamed,M,16/01/1999,0670809062,OULHOR.Mohamed@gmail.com,01/01/2020,"5500,00",
CASABLANCA,C015,SALHI Said,M,15/02/1997,0763512874,SALHI.Said@gmail.com,01/01/2016,"5500,00",
CASABLANCA,C016,BERKAOUI Saad,M,01/05/2000,0369874562,BERKAOUI.Saad@gmail.com,01/06/2016,"5500,00",
MARRAKECH,M001,ELAOURABI Yassine,M,14/02/1990,0632560123,ELAOURABI.Yassine@gmail.com,01/01/2020,"5100,00",
